1,Jeep,Grand Cherokee,7FJXMBLLJD,2014-08-20,t,3
3,Suzuki,Sidekick,JN8AF5MV4FT048599,2014-08-20,f,5
4,Dodge,Ram Wagon B350,JN8AZ1MU7EW554299,2014-08-20,f,5
5,Ford,Fiesta,5NPET4AC6AH133914,2014-08-20,f,5
7,BMW,7 Series,WAUGGBFC0DN380728,2014-08-20,f,5
8,Chevrolet,Express 2500,JTEBW3EHXA2854275,2014-08-20,t,5
9,Lincoln,Continental,3N1CN7AP2DL249169,2014-08-20,f,5
10,GMC,Sonoma Club Coupe,JTEBU4BF7AK663878,2014-08-20,t,5
11,Lincoln,Navigator,3C3CFFERXDT896603,2014-08-20,f,5
12,Infiniti,QX56,3VW4S7ATXEM277589,2014-08-20,f,3
13,Mercedes-Benz,CLS-Class,1FBNE3BL9BD087975,2014-08-20,f,4
14,Lexus,SC,1G6DP567450338204,2014-08-20,t,3
15,GMC,Sierra 3500,1FMCU0F76EU565299,2014-08-20,f,5
16,Suzuki,SJ,WAUAF78E35A841742,2014-08-20,f,5
17,GMC,Savana 3500,5YMGY0C56CL810953,2014-08-20,t,4
18,Suzuki,SJ,KMHTC6AD9EU371002,2014-08-20,t,5
19,Toyota,Camry,1G4HP57M39U149766,2014-08-20,f,5
20,Volkswagen,Jetta,2T3BFREVXFW570687,2014-08-20,t,3
21,Mercury,Tracer,WBANV13578B426995,2014-08-20,f,4
22,Dodge,Intrepid,WBADT43472G059973,2014-08-20,f,5
23,Lexus,ES,1G6DK1ED4B0719626,2014-08-20,f,5
24,Ford,F-Series,JH4NA12651T393423,2014-08-20,f,5
25,Volkswagen,Jetta,1GYS3DEF8ER344855,2014-08-20,f,5
26,Volvo,S80,1GKS1HE09BR781570,2014-08-20,f,5
27,Volkswagen,Eurovan,1G6DM56T550123694,2014-08-20,f,5
28,Honda,Civic,3N6CM0KN5DK749446,2014-08-20,f,3
29,Chevrolet,Equinox,JHMGE8G35BS214440,2014-08-20,f,4
30,Honda,Insight,3VW4A7AT4DM253368,2014-08-20,f,5
33,Audi,S4,JM1NC2JF6B0843201,2014-08-20,f,3
34,Dodge,Ram 50,WBA3A5C53FF856832,2014-08-20,t,5
35,Isuzu,Trooper,WBAGN83424D845747,2014-08-20,f,5
37,Lincoln,Continental,1GYS3JEF8ER880056,2014-08-20,t,3
38,Ford,Mustang,WBALX5C54CC637941,2014-08-20,t,4
39,Jeep,Wrangler,3VW467AT6DM318836,2014-08-20,f,5
41,Buick,LeSabre,WBADT434X2G483972,2014-08-20,t,5
43,Mercury,Tracer,JH4CU2F69AC635080,2014-08-20,f,5
46,BMW,M6,KMHFC4DF1AA497381,2014-08-20,f,4
47,Volvo,C70,WDDGF4HB0DR145346,2014-08-20,t,3
49,Dodge,Ram 3500,2FMGK5DC1AB728980,2014-08-20,f,5
50,Honda,Accord,WAUAF78E17A845856,2014-08-20,t,3
51,Saab,9-2X,WBAFR7C55CC864929,2014-08-20,t,3
52,MINI,Countryman,4A4AP3AU5EE018726,2014-08-20,f,5
53,Ferrari,430 Scuderia,WA1BY94L18D949470,2014-08-20,f,4
54,Audi,S4,3GYFNFE38CS647223,2014-08-20,t,5
55,Isuzu,Rodeo,1FTEX1CM6BF516544,2014-08-20,t,5
56,Hyundai,Genesis,KL4CJBSB1EB523361,2014-08-20,t,4
57,Lotus,Esprit,1G4PR5SK4D4336972,2014-08-20,t,5
58,Nissan,Pathfinder,5NPDH4AE8DH133741,2014-08-20,t,5
59,Dodge,Viper,WAUSG94F19N331030,2014-08-20,f,5
60,Lexus,IS,3FA6P0SU7DR930088,2014-08-20,t,5
61,Chevrolet,Corvette,5UXZV4C54CL253685,2014-08-20,f,5
63,Buick,Century,WAUYGAFC8DN261940,2014-08-20,t,5
65,Ford,Explorer Sport Trac,3D73M4CL3BG553521,2014-08-20,f,4
66,Oldsmobile,88,19UUA9E59DA508329,2014-08-20,t,5
67,Jeep,Grand Cherokee,3N1AB7AP2FY747376,2014-08-20,f,5
68,Hyundai,Veracruz,KNAFU5A25B5163788,2014-08-20,f,3
69,Mazda,Protege,1FTEX1CM7BF247518,2014-08-20,f,3
70,GMC,Envoy XL,2C4RDGBG9FR714187,2014-08-20,t,3
71,Honda,Fit,WBA3B3C55EJ062783,2014-08-20,t,4
72,Toyota,RAV4,1ZVBP8AM1B5185537,2014-08-20,t,3
73,Cadillac,Eldorado,5J8TB18209A113832,2014-08-20,t,5
74,Ford,Taurus,3C6LD4AT9CG403970,2014-08-20,f,5
75,Audi,riolet,3G5DA03E03S585088,2014-08-20,f,5
76,Acura,RL,WAUDH98E68A498965,2014-08-20,t,4
77,Hyundai,Sonata,WBAPM5C54BF511599,2014-08-20,t,3
78,Mercury,Villager,SALAB2D43AA688345,2014-08-20,f,5
79,BMW,3 Series,WBXPC9C41AW627736,2014-08-20,f,4
80,Ford,Ranger,1FM5K7B83EG578483,2014-08-20,f,5
81,Toyota,Paseo,SAJWJ0EF4E8525951,2014-08-20,f,5
82,Chevrolet,HHR,YV126MEB5F1115845,2014-08-20,t,5
83,Nissan,Titan,WAUDL64FX5N517047,2014-08-20,t,5
84,GMC,1500 Club Coupe,1G6YV36A375048615,2014-08-20,t,5
86,Saab,9-5,YV126MFD9F1360339,2014-08-20,f,3
88,Cadillac,CTS,KNALN4D71E5587278,2014-08-20,t,4
89,BMW,5 Series,WBA6B2C5XDD870955,2014-08-20,t,4
90,BMW,M6,JTHBK1GG9F2144539,2014-08-20,t,5
92,Porsche,Boxster,JTHFE2C24A2051140,2014-08-20,f,5
93,Dodge,Intrepid,WVGEF9BPXED198973,2014-08-20,f,3
94,Hyundai,Elantra,5BZAF0AA5EN942372,2014-08-20,f,3
95,Lincoln,MKX,5N1AN0NW8DN117834,2014-08-20,f,4
96,Infiniti,G37,WAUDC68D71A951811,2014-08-20,f,5
97,Toyota,T100,JN8AZ2KR0BT966579,2014-08-20,f,3
98,Chevrolet,Venture,WBA3V7C57EJ720148,2014-08-20,f,5
99,Chevrolet,Suburban 2500,1G6DF577480847960,2014-08-20,t,3
100,Audi,A8,WVWAN7AN7EE515273,2014-08-20,f,3
101,Chevrolet,Corsica,2HNYD28288H390307,2014-08-20,f,4
103,GMC,Sierra 2500,5NPDH4AE5BH778585,2014-08-20,t,4
104,Isuzu,Space,JN1BV7AP4FM060043,2014-08-20,t,5
105,Chevrolet,Express 2500,1G6DP577060349135,2014-08-20,f,5
106,Subaru,Legacy,JN1AY1AR8CM293324,2014-08-20,t,5
107,Toyota,4Runner,WVWDB7AJ1EW360667,2014-08-20,t,4
108,Lexus,GS,WAUKH98E57A059424,2014-08-20,t,3
109,Suzuki,Swift,1FMJK1G57EE097500,2014-08-20,f,5
110,Oldsmobile,98,19XFB2F53DE013289,2014-08-20,t,5
111,Ford,Taurus,1G6DJ577890891945,2014-08-20,f,4
115,Land Rover,Discovery,WAUBF78K49N427832,2014-08-20,f,4
116,Ford,F250,WAURFAFR4EA884931,2014-08-20,f,5
117,Ford,Flex,WAUSH78E57A293440,2014-08-20,f,4
118,Lamborghini,Gallardo,2G4GS5EC6B9968990,2014-08-20,f,4
119,BMW,Z4,WAULC58E25A450927,2014-08-20,f,5
120,Dodge,Caravan,2HNYD28249H363591,2014-08-20,f,5
121,Mitsubishi,Montero Sport,1GYS4JEF4DR351408,2014-08-20,f,3
122,Dodge,Ram Van B250,5FRYD4H81EB992004,2014-08-20,f,5
123,Chevrolet,Suburban 2500,2C4RDGAG8CR537547,2014-08-20,f,3
124,BMW,M3,SCBZB25E21C609532,2014-08-20,f,5
125,Volvo,V40,1FMJK1H58CE502257,2014-08-20,t,4
126,Mitsubishi,Lancer,1GYEC63T72R352975,2014-08-20,f,5
127,Volvo,960,WBALL5C57EE610770,2014-08-20,t,4
128,Ford,Econoline E350,2C3CDXJG6DH451641,2014-08-20,f,4
129,Suzuki,Daewoo Lacetti,2HNYD18662H556098,2014-08-20,t,4
130,Infiniti,Q,1FMJU1F57AE348165,2014-08-20,f,3
131,Mitsubishi,Galant,5GAKRCKD8DJ798796,2014-08-20,f,4
132,Scion,xA,5GAKRDKDXDJ638652,2014-08-20,f,5
133,Cadillac,Escalade,JTEBU5JR9F5132544,2014-08-20,t,4
134,Plymouth,Horizon,1N6AF0LX6FN049496,2014-08-20,f,4
135,Toyota,FJ Cruiser,5GAKRBKD9FJ922796,2014-08-20,t,4
136,GMC,Savana 2500,1G6DW67V980841382,2014-08-20,f,4
137,Lexus,GX,5TFCY5F17CX197215,2014-08-20,t,5
138,Mercedes-Benz,SL-Class,1C4PJLABXFW832237,2014-08-20,f,5
139,Mercedes-Benz,CL-Class,WAUBFAFL7CN571715,2014-08-20,t,5
140,Ford,LTD Crown Victoria,WAUKD98P27A527560,2014-08-20,t,5
141,Pontiac,Bonneville,1C4RDJEG3EC501526,2014-08-20,t,4
143,Land Rover,Discovery,JTHBE1D27E5066145,2014-08-20,t,3
144,Honda,Pilot,KNADM4A3XD6396220,2014-08-20,f,5
145,Buick,Regal,4T1BF3EK9BU986333,2014-08-20,t,4
146,Chevrolet,Beretta,WAUDF58E65A275559,2014-08-20,t,5
147,Lexus,SC,WAUDT94F95N922558,2014-08-20,t,4
